CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,28-04-2020,11283.1846,5715.8218,745.9291,1126.3398,6028.7378
AN,29-04-2020,11315.0654,5741.1323,748.4502,1136.1869,6218.7676
AN,30-04-2020,11304.5596,5757.6318,752.1377,1141.8489,6397.8379
AN,01-05-2020,11271.2764,5768.7764,756.2473,1145.1442,6560.8237
AN,02-05-2020,11223.2744,5776.3169,760.4481,1147.0037,6702.5078
AN,03-05-2020,11165.8857,5781.3896,764.5801,1147.9717,6822.6084
AN,04-05-2020,11102.6826,5784.7466,768.5643,1148.3777,6922.8975
AR,28-04-2020,4895.9341,2453.9565,245.0984,756.0267,2149.1926
AR,29-04-2020,4906.6079,2470.7876,245.6129,765.28,2230.3469
AR,30-04-2020,4910.8809,2486.8411,245.2582,774.2464,2302.4854
AR,01-05-2020,4909.9736,2502.0862,244.4074,782.7509,2366.8118
AR,02-05-2020,4905.6094,2516.5173,243.3093,790.7357,2423.968
AR,03-05-2020,4898.9556,2530.1509,242.096,798.1854,2474.5283
AR,04-05-2020,4890.8198,2543.0146,240.8376,805.1067,2519.051
AS,28-04-2020,2240.6235,1892.0558,135.7641,267.5314,983.78448
AS,29-04-2020,2239.5288,1917.4526,137.0829,274.2306,1008.8047
AS,30-04-2020,2237.0115,1942.6151,138.0876,280.6664,1036.7319
AS,01-05-2020,2233.5081,1967.2361,138.9082,286.8212,1064.2595
AS,02-05-2020,2229.4104,1991.0665,139.5905,292.6807,1089.3892
AS,03-05-2020,2224.9763,2013.9634,140.1666,298.2336,1111.5303
AS,04-05-2020,2220.3789,2035.8488,140.6584,303.4729,1130.6223
IB,28-04-2020,1812.5438,1069.4313,165.7212,193.7791,1110.1827
IB,29-04-2020,1816.1962,1077.6388,165.7803,196.3808,1119.0398
IB,30-04-2020,1816.0443,1084.192,165.7336,199.3801,1124.837
IB,01-05-2020,1812.8468,1089.5234,165.621,202.3921,1128.5939
IB,02-05-2020,1807.5822,1093.9788,165.4671,205.3245,1131.0049
IB,03-05-2020,1800.9122,1097.7776,165.2877,208.1185,1132.5089
IB,04-05-2020,1793.2932,1101.0662,165.093,210.7433,1133.3927
CN,28-04-2020,2170.9106,854.6805,172.9038,135.2592,1196.1353
CN,29-04-2020,2181.0244,856.3177,173.7573,136.8484,1218.433
CN,30-04-2020,2189.2124,855.5666,174.4789,138.381,1242.8809
CN,01-05-2020,2196.1133,853.5607,175.0943,139.859,1267.0293
CN,02-05-2020,2202.1152,850.9065,175.6308,141.2825,1290.0355
CN,03-05-2020,2207.4534,847.9495,176.1062,142.6522,1311.5029
CN,04-05-2020,2212.2798,844.8893,176.5324,143.9689,1331.2686
CB,28-04-2020,2058.1631,1004.6367,74.9022,192.8365,1579.9309
CB,29-04-2020,2068.198,1009.8937,74.6325,195.4769,1638.0713
CB,30-04-2020,2072.1204,1014.5951,74.2106,197.9329,1684.6644
CB,01-05-2020,2072.8752,1018.8611,73.7064,200.2197,1722.0353
CB,02-05-2020,2071.7253,1022.7662,73.1635,202.3411,1750.6995
CB,03-05-2020,2069.3979,1026.3632,72.6079,204.3048,1772.3375
CB,04-05-2020,2066.3193,1029.6917,72.0553,206.1195,1788.6232
CM,28-04-2020,14987.0869,9110.1943,593.2593,2471.3137,5770.292
CM,29-04-2020,14980.9248,9140.9023,598.0757,2509.241,5918.2397
CM,30-04-2020,14938.2559,9196.2441,602.884,2546.5706,6068.8486
CM,01-05-2020,14879.7031,9262.1387,607.603,2582.5671,6215.7593
CM,02-05-2020,14812.6963,9331.7197,612.171,2616.9045,6355.6567
CM,03-05-2020,14742.1436,9401.1943,616.5538,2649.4048,6486.6372
CM,04-05-2020,14671.0879,9468.4902,620.7326,2679.9778,6607.7798
CL,28-04-2020,15321.4951,7233.8755,548.1428,1683.2137,5959.7065
CL,29-04-2020,15331.7148,7246.0786,554.1839,1698.5265,5996.2632
CL,30-04-2020,15263.4941,7231.3403,560.1899,1710.2034,6000.0566
CL,01-05-2020,15157.0479,7200.9902,565.9835,1720.0664,5985.6958
CL,02-05-2020,15027.8711,7161.1934,571.5029,1728.5826,5959.0918
CL,03-05-2020,14885.9844,7115.9897,576.7197,1736.0706,5924.1064
CL,04-05-2020,14737.6729,7068.0264,581.626,1742.7349,5883.3447
CT,28-04-2020,49077.0195,26012.5547,2665.2231,4976.4731,18150.5938
CT,29-04-2020,49698.3711,26387.8086,2687.8044,5067.9785,18485.457
CT,30-04-2020,50289.1797,26726.1875,2706.3662,5160.293,18778.2539
CT,01-05-2020,50845.2305,27034.4316,2721.9119,5252.1235,19038.2207
CT,02-05-2020,51367.0195,27319.2246,2735.2559,5342.272,19270.7539
CT,03-05-2020,51855.2734,27584.8086,2746.9414,5429.9658,19479.709
CT,04-05-2020,52311,27834.0273,2757.334,5514.7056,19667.918
CE,28-04-2020,96.9072,9.2901,3.8765,3.7621,147.3315
CE,29-04-2020,96.5324,9.3097,3.8645,3.7361,153.0868
CE,30-04-2020,96.0444,9.2831,3.8474,3.6999,158.5146
CE,01-05-2020,95.4922,9.2313,3.8277,3.6583,162.8734
CE,02-05-2020,94.9086,9.1646,3.8071,3.6143,166.2886
CE,03-05-2020,94.3148,9.09,3.7863,3.5697,168.9094
CE,04-05-2020,93.7246,9.0119,3.766,3.5256,170.9019
VC,28-04-2020,9821.2764,4981.7876,647.5779,1123.8782,7111.707
VC,29-04-2020,9836.1895,4993.979,647.5247,1128.9989,7311.23
VC,30-04-2020,9820.5713,5000.0552,646.7605,1127.5165,7517.2104
VC,01-05-2020,9789.2178,5002.5605,645.4413,1122.3116,7714.7188
VC,02-05-2020,9748.6729,5002.8613,643.7524,1114.6406,7899.6914
VC,03-05-2020,9702.8193,5001.7725,641.8151,1105.3405,8069.9463
VC,04-05-2020,9654.0127,4999.7939,639.7111,1094.9651,8224.7842
EX,28-04-2020,2662.6414,1455.6851,103.1919,428.6066,1992.9082
EX,29-04-2020,2657.9675,1465.7347,102.8102,431.2811,2106.8433
EX,30-04-2020,2650.0964,1472.5927,102.2793,433.4533,2207.7944
EX,01-05-2020,2639.9417,1477.21,101.6783,435.2175,2294.2661
EX,02-05-2020,2628.6697,1480.3459,101.0497,436.6704,2366.4001
EX,03-05-2020,2616.9526,1482.4875,100.4184,437.8795,2425.5171
EX,04-05-2020,2605.1833,1483.9519,99.79873,438.8942,2473.4866
GA,28-04-2020,9176.6816,2755.5791,76.2478,421.711,1942.1699
GA,29-04-2020,9242.1738,2763.4014,74.0725,428.0803,1971.7454
GA,30-04-2020,9289.9287,2769.4812,72.2576,434.4948,2002.9646
GA,01-05-2020,9325.6201,2774.29,70.7652,440.7791,2034.4382
GA,02-05-2020,9353.0713,2778.106,69.5658,446.8732,2065.3413
GA,03-05-2020,9374.6553,2781.1375,68.639,452.7397,2095.177
GA,04-05-2020,9391.9355,2783.5405,67.9686,458.3582,2123.6614
MD,28-04-2020,60603.4961,15461.7139,1721.193,8200.5527,37597.0469
MD,29-04-2020,60728.7461,17193.5352,1837.8423,8266.834,38060.2031
MD,30-04-2020,60782.8906,18460.4121,1912.4615,8334.084,38556.2344
MD,01-05-2020,60781.9688,18991.918,1946.188,8399.7734,39063.8594
MD,02-05-2020,60743.2969,19086.8477,1955.3094,8463.0615,39569.3477
MD,03-05-2020,60678.4297,18927.1074,1949.5559,8523.5176,40064.0156
MD,04-05-2020,60595.4453,18624.2285,1935.046,8580.9531,40542.5703
ML,28-04-2020,107.6175,41.7664,2.8295,1.8695,111.1145
ML,29-04-2020,108.0277,41.5769,2.8178,1.8594,117.6904
ML,30-04-2020,108.1589,41.3078,2.7957,1.8423,123.1631
ML,01-05-2020,108.149,40.9966,2.7677,1.8213,127.4835
ML,02-05-2020,108.0624,40.6678,2.7365,1.7982,130.7681
ML,03-05-2020,107.9363,40.3352,2.7038,1.7742,133.2046
ML,04-05-2020,107.7918,40.007,2.6708,1.75,134.9891
MC,28-04-2020,1429.8431,624.0656,109.3856,130.9305,1082.7468
MC,29-04-2020,1427.9651,624.1491,109.8619,131.8868,1128.642
MC,30-04-2020,1423.1785,623.8288,110.392,132.8172,1170.8843
MC,01-05-2020,1416.8529,623.1962,110.9592,133.7144,1209.7003
MC,02-05-2020,1409.6626,622.3493,111.5397,134.5747,1245.0868
MC,03-05-2020,1402.0142,621.358,112.1197,135.3967,1277.0752
MC,04-05-2020,1394.1604,620.2735,112.691,136.1797,1305.7664
NC,28-04-2020,4811.6099,1935.1517,117.8172,486.5851,2009.0868
NC,29-04-2020,4840.5405,1940.9994,117.6341,496.502,2103.5151
NC,30-04-2020,4870.6001,1944.7948,116.6823,506.6587,2186.759
NC,01-05-2020,4900.8525,1947.2416,115.3007,517.1252,2261.4648
NC,02-05-2020,4930.8452,1948.7487,113.6634,527.6093,2328.2598
NC,03-05-2020,4960.3193,1949.5892,111.8763,537.9111,2387.7378
NC,04-05-2020,4989.1265,1949.9479,110.0064,547.8978,2440.4766
PV,28-04-2020,12417.7969,6379.8203,504.343,1344.0248,10376.376
PV,29-04-2020,12467.2988,6405.104,505.2764,1365.5582,10735.7119
PV,30-04-2020,12501.0176,6421.3657,504.2315,1388.5018,11074.5322
PV,01-05-2020,12524.5986,6431.3804,502.1177,1411.8311,11392.5273
PV,02-05-2020,12541.208,6437.1382,499.3856,1434.8389,11689.2295
PV,03-05-2020,12552.8486,6439.9609,496.3158,1457.1155,11964.3633
PV,04-05-2020,12560.8506,6440.7207,493.0855,1478.4248,12217.9531
RI,28-04-2020,3918.499,1358.9838,78.9794,332.7689,2128.6304
RI,29-04-2020,3939.1089,1364.749,79.1615,336.9263,2149.7576
RI,30-04-2020,3958.3594,1367.9824,78.9354,341.0156,2172.427
RI,01-05-2020,3976.3198,1369.5001,78.4316,344.9929,2195.2295
RI,02-05-2020,3993.0552,1369.9711,77.7595,348.8311,2217.6064
RI,03-05-2020,4008.6292,1369.8104,76.9871,352.5157,2239.2732
RI,04-05-2020,4023.1057,1369.2732,76.1574,356.0397,2260.0847
